ID,time,precipitation (mm),electricity_shutdown
17521,01/01/2024 00:00:00,,
17522,01/01/2024 01:00:00,,
17523,01/01/2024 02:00:00,,
17524,01/01/2024 03:00:00,,
17525,01/01/2024 04:00:00,,
17526,01/01/2024 05:00:00,,
17527,01/01/2024 06:00:00,,
17528,01/01/2024 07:00:00,,
17529,01/01/2024 08:00:00,,
17530,01/01/2024 09:00:00,,
17531,01/01/2024 10:00:00,,
17532,01/01/2024 11:00:00,,
17533,01/01/2024 12:00:00,,
17534,01/01/2024 13:00:00,,
17535,01/01/2024 14:00:00,,
17536,01/01/2024 15:00:00,,
17537,01/01/2024 16:00:00,,
17538,01/01/2024 17:00:00,,
17539,01/01/2024 18:00:00,,
17540,01/01/2024 19:00:00,,
17541,01/01/2024 20:00:00,,
17542,01/01/2024 21:00:00,,
17543,01/01/2024 22:00:00,,
17544,01/01/2024 23:00:00,,
17545,01/02/2024 00:00:00,,
17546,01/02/2024 01:00:00,,
17547,01/02/2024 02:00:00,,
17548,01/02/2024 03:00:00,,
17549,01/02/2024 04:00:00,,
17550,01/02/2024 05:00:00,,
17551,01/02/2024 06:00:00,,
17552,01/02/2024 07:00:00,,
17553,01/02/2024 08:00:00,,
17554,01/02/2024 09:00:00,,
17555,01/02/2024 10:00:00,,
17556,01/02/2024 11:00:00,,
17557,01/02/2024 12:00:00,,
17558,01/02/2024 13:00:00,,
17559,01/02/2024 14:00:00,,
17560,01/02/2024 15:00:00,,
17561,01/02/2024 16:00:00,,
17562,01/02/2024 17:00:00,,
17563,01/02/2024 18:00:00,,
17564,01/02/2024 19:00:00,,
17565,01/02/2024 20:00:00,,
17566,01/02/2024 21:00:00,,
17567,01/02/2024 22:00:00,,
17568,01/02/2024 23:00:00,,
17569,01/03/2024 00:00:00,,
17570,01/03/2024 01:00:00,,
17571,01/03/2024 02:00:00,,
17572,01/03/2024 03:00:00,,
17573,01/03/2024 04:00:00,,
17574,01/03/2024 05:00:00,,
17575,01/03/2024 06:00:00,,
17576,01/03/2024 07:00:00,,
17577,01/03/2024 08:00:00,,
17578,01/03/2024 09:00:00,,
17579,01/03/2024 10:00:00,,
17580,01/03/2024 11:00:00,,
17581,01/03/2024 12:00:00,,
17582,01/03/2024 13:00:00,,
17583,01/03/2024 14:00:00,,
17584,01/03/2024 15:00:00,,
17585,01/03/2024 16:00:00,,
17586,01/03/2024 17:00:00,,
17587,01/03/2024 18:00:00,,
17588,01/03/2024 19:00:00,,
17589,01/03/2024 20:00:00,,
17590,01/03/2024 21:00:00,,
