time,temperature_2m (?E?EC),relative_humidity_2m (%),dew_point_2m (?E?EC),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (?E?EC),soil_temperature_100_to_255cm (?E?EC),soil_moisture_0_to_7cm (m?/m?),soil_moisture_7_to_28cm (m?/m?),soil_moisture_28_to_100cm (m?/m?),soil_moisture_100_to_255cm (m?/m?),shortwave_radiation (W/m?),direct_radiation (W/m?),diffuse_radiation (W/m?),direct_normal_irradiance (W/m?),global_tilted_irradiance (W/m?),terrestrial_radiation (W/m?),is_day (),precipitation (mm)
01-01-2022 00:00:00,22.2,91.0,207,987.2,52.0,3.0,32.0,100,0.29,5.3,109,16.6,238,254,272,278,0.269,323,0,0,0,0,0,0.0,0,0.1
01-01-2022 01:00:00,22.2,89.0,203,986.7,47.0,5.0,17.0,100,0.29,5.3,127,8.3,234,254,271,278,0.269,323,0,0,0,0,0,0.0,0,0.0
01-01-2022 02:00:00,22.35,87.0,202,985.8,42.0,7.0,10.0,100,0.37,7.6,168,13.0,232,254,271,278,0.269,323,0,0,0,0,0,0.0,0,0.0
01-01-2022 03:00:00,22.5,86.0,201,985.8,43.0,8.0,9.0,100,0.38,7.0,194,15.1,231,254,27,277,0.268,323,0,0,0,0,0,0.0,0,0.0
01-01-2022 04:00:00,22.7,84.0,199,985.7,46.5,13.0,10.0,100,0.43,6.4,161,18.0,23,254,27,277,0.268,323,0,0,0,0,0,0.0,0,0.0
01-01-2022 05:00:00,22.4,86.0,199,986.0,50.0,9.0,19.0,100,0.39,7.066666666666667,138,10.4,229,254,269,277,0.268,323,0,0,0,0,0,0.0,0,0.0
01-01-2022 06:00:00,22.9,85.0,202,986.8,48.0,6.5,10.0,100,0.42,7.733333333333333,138,10.4,228,254,269,277,0.268,323,13,1,12,101,13,77.9,1,0.0
01-01-2022 07:00:00,25.0,81.0,214,987.0,38.0,4.0,7.0,100,0.61,8.4,138,17.6,24,254,267,276,0.267,323,153,69,84,2851,153,342.4,1,0.0
01-01-2022 08:00:00,25.78,77.0,218,987.35,41.0,10.0,3.0,100,0.78,9.3,126,19.4,252,254,265,275,0.267,323,373,257,116,5518,373,658.8,1,0.0
01-01-2022 09:00:00,26.56,74.0,224,987.7,40.0,8.0,4.0,100,0.95,9.6,156,24.8,265,254,263,274,0.266,323,619,484,135,7319,619,935.4,1,0.0
